LOYALTY_CARD_#,LIFESTAGE,PREMIUM_CUSTOMER
1000,Young Singles/Couples,Premium
1002,Young Singles/Couples,Mainstream
1003,Young Families,Budget
1004,Older Singles/Couples,Mainstream
1005,Midage Singles/Couples,Mainstream
1007,Young Singles/Couples,Budget
1009,New Families,Premium
1010,Young Singles/Couples,Mainstream
1011,Older Singles/Couples,Mainstream
1012,Older Families,Mainstream
1013,Retirees,Budget
1016,Older Families,Mainstream
1018,Young Singles/Couples,Mainstream
1019,Older Singles/Couples,Premium
1020,Young Singles/Couples,Mainstream
1022,Older Families,Budget
1023,Midage Singles/Couples,Premium
1024,Young Singles/Couples,Premium
1025,Young Families,Budget
1026,Midage Singles/Couples,Premium
1027,Older Families,Premium
1028,Young Singles/Couples,Budget
1030,Retirees,Mainstream
1034,Retirees,Premium
1038,Older Families,Mainstream
1039,Young Families,Mainstream
1042,Young Singles/Couples,Premium
1043,Young Families,Budget
1044,Young Families,Mainstream
1046,Young Singles/Couples,Budget
1048,Older Families,Mainstream
1050,Young Families,Budget
1051,Young Singles/Couples,Budget
1052,Midage Singles/Couples,Budget
1053,Midage Singles/Couples,Mainstream
1054,New Families,Mainstream
1055,Retirees,Mainstream
1056,Midage Singles/Couples,Mainstream
1057,Midage Singles/Couples,Mainstream
1060,Young Singles/Couples,Mainstream
1061,Older Singles/Couples,Budget
1062,Young Families,Premium
1064,Young Families,Budget
1065,Midage Singles/Couples,Premium
1067,Older Singles/Couples,Mainstream
1068,Young Singles/Couples,Premium
1071,Young Families,Mainstream
1072,New Families,Premium
1074,Retirees,Budget
1076,Young Singles/Couples,Budget
1077,Older Singles/Couples,Premium
1080,Retirees,Budget
1081,Midage Singles/Couples,Budget
1086,Young Singles/Couples,Budget
1087,Retirees,Premium
1088,Young Singles/Couples,Budget
1089,Retirees,Mainstream
1090,Older Families,Budget
1091,New Families,Budget
1093,Retirees,Premium
1094,New Families,Budget
1095,Retirees,Mainstream
1096,Older Singles/Couples,Premium
1097,Retirees,Budget
1099,Older Singles/Couples,Premium
1101,Retirees,Mainstream
1102,Older Families,Budget
1103,Older Families,Budget
1104,Retirees,Mainstream
1105,Retirees,Premium
1107,Older Singles/Couples,Mainstream
1108,Retirees,Mainstream
1109,Older Singles/Couples,Mainstream
1111,Retirees,Premium
1113,Young Singles/Couples,Mainstream
1114,Older Families,Premium
1115,Retirees,Premium
1116,Older Singles/Couples,Premium
1117,Older Singles/Couples,Mainstream
1118,Retirees,Mainstream
1120,Young Singles/Couples,Mainstream
1121,Older Singles/Couples,Premium
1122,Older Singles/Couples,Budget
1123,Midage Singles/Couples,Mainstream
1124,Retirees,Mainstream
1125,Older Singles/Couples,Premium
1127,Retirees,Mainstream
1133,Young Families,Budget
1134,Retirees,Mainstream
1136,Older Families,Budget
1137,Midage Singles/Couples,Premium
1139,Older Singles/Couples,Premium
1140,Retirees,Mainstream
1141,Young Singles/Couples,Mainstream
1142,Older Families,Premium
1143,Older Families,Budget
1146,Young Singles/Couples,Premium
1147,New Families,Premium
1149,Young Families,Mainstream
1150,Young Singles/Couples,Budget
1152,Retirees,Budget
1155,Older Singles/Couples,Budget
1156,Retirees,Premium
1158,Older Singles/Couples,Mainstream
1159,Young Singles/Couples,Mainstream
1161,Young Singles/Couples,Mainstream
1163,Young Singles/Couples,Mainstream
1164,Young Singles/Couples,Mainstream
1165,Young Singles/Couples,Budget
1168,Young Singles/Couples,Premium
1169,New Families,Budget
1170,Older Families,Mainstream
1171,Retirees,Mainstream
1172,Older Families,Mainstream
1173,Retirees,Mainstream
1174,Older Singles/Couples,Budget
1177,Young Singles/Couples,Mainstream
1178,Retirees,Mainstream
1179,Young Singles/Couples,Mainstream
1181,Young Singles/Couples,Premium
1182,Young Singles/Couples,Budget
1183,Young Singles/Couples,Budget
1184,Midage Singles/Couples,Budget
1186,New Families,Budget
1187,Young Families,Budget
1188,Retirees,Mainstream
1189,Retirees,Budget
1190,Older Families,Budget
1191,Young Singles/Couples,Mainstream
1192,Young Singles/Couples,Budget
1193,Young Singles/Couples,Mainstream
1196,Young Families,Premium
1197,Retirees,Premium
1199,Retirees,Mainstream
1201,Older Singles/Couples,Mainstream
1202,Young Families,Premium
1203,Older Families,Mainstream
1205,Retirees,Premium
1206,New Families,Mainstream
1209,Midage Singles/Couples,Premium
1210,Young Singles/Couples,Mainstream
1211,Older Singles/Couples,Premium
1212,New Families,Mainstream
1216,Older Families,Mainstream
1218,Older Singles/Couples,Budget
1219,Older Singles/Couples,Premium
1223,Older Singles/Couples,Mainstream
1224,Midage Singles/Couples,Mainstream
1225,Young Singles/Couples,Budget
1226,Older Families,Budget
1228,Midage Singles/Couples,Mainstream
1229,Young Singles/Couples,Premium
1232,Retirees,Mainstream
1233,Young Families,Mainstream
1235,Older Families,Budget
1236,Midage Singles/Couples,Mainstream
1238,Older Singles/Couples,Premium
1239,Older Families,Mainstream
1240,Older Singles/Couples,Premium
1241,Retirees,Mainstream
1242,Older Singles/Couples,Budget
1243,Young Families,Budget
1244,Retirees,Budget
1246,Young Singles/Couples,Mainstream
1247,Retirees,Premium
1248,Retirees,Budget
1250,Older Families,Budget
1254,Retirees,Budget
1256,Young Families,Mainstream
1257,Midage Singles/Couples,Mainstream
1259,Young Families,Premium
1262,Retirees,Premium
1263,Young Singles/Couples,Budget
1266,Older Singles/Couples,Mainstream
1267,Young Singles/Couples,Mainstream
1270,Retirees,Budget
1272,Older Singles/Couples,Premium
